main_category_name,sub_category_name,ranking,title,ori_price,dis_price,discount_percent
ALL,ALL,1,[아이더](신세계센텀점)[21SS]JUM21M01 아이더 키즈 (로데스 )  남여 공용 반팔 반바지 세트 (3가지 컬러),28050,28050,20
ALL,ALL,2,[크리넥스]3겹 순수소프트 화장지 27M 30롤X2팩/휴지 /new,31500,31500,25
ALL,ALL,3,[유한락스]유한락스 new 욕실청소 500mlx4개 +락스 500ml 증정,11900,11900,29
ALL,ALL,4,(1+1+1) 삐아 오토 젤 아이라이너 신규컬러출시,9900,9900,69
ALL,ALL,5,[햇반]CJ제일제당 햇반 백미 36개,31950,31950,1
ALL,ALL,6,올청 변기세정제 변기클리너 45g 60개입,10000,10000,66
ALL,ALL,7,[모나리자]천연펄프 소프트리 퓨어 25m 30롤 3개 (총90롤),23900,23900,25
ALL,ALL,8,[CW청우]왕찹쌀 모나카 27개입 810g/과자/간식/팥/찰떡,11500,11500,58
ALL,ALL,9,[구글플레이](카드가능) 기프트코드 10만원 / 구글 기프트카드,95000,95000,5
ALL,ALL,10,널담은뚱카롱 오직 널 위한 널담마카롱8구 감동세트,11900,11900,50
ALL,ALL,11,[센스(물티슈)]센스물티슈 악어 캡형 100매 10팩+10팩,13500,13500,66
ALL,ALL,12,15%쿠폰 3+1 1+1특가 여름 쿨링 밴딩팬츠모음~4XL,6900,6900,70
ALL,ALL,13,[명품서서갈비]명품 서서갈비 A+육질 돼지양념갈비 1+1 (1.2kg x 2),26950,26950,2
ALL,ALL,14,메이시스 여름 빅사이즈 원피스 블라우스 티셔츠,9900,9900,70
ALL,ALL,15,[스팸]스팸 클래식 340g 10개,29610,29610,10
ALL,ALL,16,[애슐리]애슐리 감바스+빠네+파히타 6인분 홈파티 세트,34500,34500,40
ALL,ALL,17,브리치x허니제이 BEST 15%쿠폰 셔츠/가디건/팬츠,14300,14300,69
ALL,ALL,18,패션라인15%쿠폰여름블라우스 원피스/티셔츠/빅사이즈,12900,12900,70
ALL,ALL,19,[비지트인뉴욕(VISIT IN NEWYORK)] 비지트인뉴욕 코튼100 썬 원피스 2종 (,39000,39000,0
ALL,ALL,20,정직한농부의ABC주스 100포,59900,59900,0
ALL,ALL,21,[에잇세컨즈]10%쿠폰 무배 남녀 S/S 인기 상품 셔츠/원피스/팬츠外,15900,15900,68
ALL,ALL,22,[한국투자증권](한국투자증권) 온라인 금융상품권 50000원권,50000,50000,0
ALL,ALL,23,영의정 제주오메기떡 (60gX20개),15900,15900,50
ALL,ALL,24,[리틀그라운드](신세계경기점)데님인더박스(GR)-와펜라운드썬캡(71311-806-02),30220,30220,16
ALL,ALL,25,[Gfresh]한성 생선까스 1.2kg(20조각),10900,10900,55
ALL,ALL,26,글램공감/브라1+팬티2/속옷세트/A~D컵/빅사이즈,7900,7900,69
ALL,ALL,27,2021 제주 햇 초당 옥수수 20개,29900,29900,0
ALL,ALL,28,[블랙야크키즈](신세계하남점)[블랙야크키즈]  역시즌 한겨울용  헤비급 야상 / 여아 롱다운자켓 3종택1,77130,77130,22
ALL,ALL,29,[구글플레이](카드가능) 기프트코드 5만원 / 구글 기프트카드,47500,47500,5
ALL,ALL,30,국내가공 오다리 장족 400g / 오징어다리 안주 간식,12900,12900,50
ALL,ALL,31,쉬블림로브 15%쿠폰 균일가 블라우스 셔츠 상하세트,8900,8900,69
ALL,ALL,32,[농협](행사상품)믿고먹는_안심농협쌀_20KG 포 ,57730,57730,1
ALL,ALL,33,[스카트]스카트 THE 버블 수세미 베이지 50매X3롤,11900,11900,55
ALL,ALL,34,[드릴펑]배수구 세정제 드릴펑 1L 3개+2L 증정/최종8150원,10900,10900,60
ALL,ALL,35,동치미물냉면 1816G (4인분) X3 + 증정냉면사리 x3,25300,25300,20
ALL,ALL,36,씨투엠에듀 도형학습지 플라토 유치~초등 단계별 선택구매(전4권),24000,24000,50
ALL,ALL,37,스크래치 통3중 인덕션 넌스틱 스텐후라이팬 28cm,19900,19900,50
ALL,ALL,38,[기삼전복] 진도 기삼 손질 전복 20마리 + 게우 4팩,40900,40900,0
ALL,ALL,39,괴물용량 10M 가스렌지 후드필터 외 주방용품 70종,5900,5900,50
ALL,ALL,40,[르헤브]2021년 신형 피톤치드 항균 경추 베개솜 1+1/베개,8900,8900,69
ALL,ALL,41,[헬로]헬로 순수 3겹 천연펄프 화장지 30m 30롤 3팩 특가행사,24500,24500,66
ALL,ALL,42,(행사상품)동진협동_우리토종신동진쌀_10KG 포 ,30600,30600,0
ALL,ALL,43,[윈드피아]가정용 업소용 사무실 스탠드 키높이 선풍기 WA-170,23720,23720,14
ALL,ALL,44,대한농산 생 체리 항공직송 체리1kg/10R,15900,15900,33
ALL,ALL,45,햇 천도 복숭아 (오월화 신선) 3kg/꼬마소과 40-52과/2박스 구매 1kg 증정,9810,9810,10
ALL,ALL,46,[디키즈]17% 추가쿠폰_디키즈 SUMMER 런칭 프로모션,9900,9900,70
ALL,ALL,47,최초2만원인하 타운젠트 21SS 린넨혼방 에어로와플 PK셔츠4종,69000,69000,0
ALL,ALL,48,홈쇼핑히트 21S/S 블라우스/원피스/티셔츠/팬츠 外,9900,9900,70
ALL,ALL,49,[가쯔]멀티 회전고리 논슬립 옷걸이 40개 옷장정리 수납,9900,9900,54
ALL,ALL,50,널담은뚱카롱 오직 널 위한널담은마카롱 사랑 8구세트,11900,11900,50
ALL,ALL,51,[에그머니](카드가능)(에그머니) 온라인 게임상품권 5만원,45000,45000,10
ALL,ALL,52,반팔티셔츠/빅사이즈/여름티/티셔츠/남자/남성/면/티,7900,7900,69
ALL,ALL,53,[CJ고메]바삭쫄깃한 탕수육 450g 3봉,23720,23720,14
ALL,ALL,54,다온샵/여름신상15% 빅사이즈/데님/슬랙스/린넨/팬츠,9900,9900,70
ALL,ALL,55,[베베숲]시그니처 그린 70매 캡 20팩,31000,31000,27
ALL,ALL,56,[풀무원]풀무원  사계절 아삭 포기김치 10kg,39690,39690,2
ALL,ALL,57,[커클랜드]2개 Kirkland 코스트코 야생화 와일드플라워 꿀 허니 아르헨티나 A등급 2.27 kg 빠른직구,37800,37800,15
